skill_enchant_charge_begin	group_item=98232	exp_grade={{0;10000;10000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=1	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94135	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94136	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94361	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94362	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94363	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94364	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94365	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94366	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94367	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94368	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94369	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94370	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95517	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95518	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95533	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95534	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95535	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95536	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95537	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95538	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95539	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95769	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95770	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95771	exp_grade={{0;300000;1000};{1;2250;3000000};{2;750;3000000};{3;450;3000000};{4;11;3000000}}	commission_item_id=57	group_id=2	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=90045	exp_grade={{0;10000;50000};{1;1500;3000000};{2;500;3000000};{3;300;3000000};{4;7;3000000}}	commission_item_id=57	group_id=3	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=98423	exp_grade={{0;10000;50000};{1;1500;3000000};{2;500;3000000};{3;300;3000000};{4;7;3000000}}	commission_item_id=57	group_id=3	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96954	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97072	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97121	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97175	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=98130	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=101209	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=102739	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95515	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=93871	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96274	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96273	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95516	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94134	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95512	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=93867	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97114	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97106	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96673	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96661	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95523	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94141	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95522	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94140	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96900	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=96886	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95521	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94139	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=95520	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=94138	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97858	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
skill_enchant_charge_begin	group_item=97844	exp_grade={{1;300000;3000000};{2;50000;3000000};{3;28000;3000000};{4;700;3000000}}	commission_item_id=57	group_id=4	target_level=0	skill_enchant_charge_end
